CellId	Length	Radius	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
109	34.9883	0.759267	0.939093	-6.69707	0.048172	-55.7357	131.922	-235.254	-62.3168	104.06	-252.42
110	10.4307	1.87929	0.102165	-0.284184	0.0209561	-67.1913	160.952	-238.369	-73.5012	165.345	-245.097
111	13.4931	1.58399	0.136399	-0.103911	0.0200778	-69.3181	152.818	-232.662	-81.6053	153.226	-237.543
112	6.99119	1.62111	0.120633	-0.346514	0.0354546	-69.3181	152.818	-232.662	-73.5124	149.211	-228.79
113	18.1902	1.77126	0.126483	0.0122493	0.0163633	-60.8152	150.029	-245.763	-61.7616	159.115	-261.154
114	10.1249	1.92463	0.108612	-2.78853	0.0364619	-60.8152	150.029	-245.763	-66.7134	145.577	-252.152
115	10.5541	0.615107	0.319785	1.50054	0.146744	-34.5562	139.986	-210.563	-29.3721	133.122	-207.289
116	16.6975	0.276302	2.16701	49.5152	0.0612697	-34.5562	139.986	-210.563	-29.9195	137.425	-225.378
117	8.71322	1.399	0.119265	-0.641929	0.0115195	-38.0828	126.295	-212.869	-39.6098	118.793	-216.817
118	15.3919	1.3674	0.133897	-0.392665	0.039089	-41.7843	136.872	-193.529	-41.7598	124.605	-185.225
119	6.76754	1.50892	0.12733	0.100224	0.0152927	-51.0069	134.711	-199.307	-57.2611	132.408	-199.413
120	9.3006	2.08124	0.128721	0.00530227	0.0547789	58.2216	190.326	-172.137	59.1221	198.654	-174.892
121	10.4337	1.89287	0.139076	0.00768214	0.0763129	58.2216	190.326	-172.137	56.4765	195.985	-164.462
122	6.04765	0.208326	4.40021	34.751	0.0344922	65.3172	189.12	-178.511	67.2254	188.544	-184.007
123	6.81486	0.223793	5.64469	-84.9583	0.0515001	78.4331	196.078	-165.714	80.4754	201.074	-162.126
124	19.8562	0.944202	0.217565	0.40705	0.026567	78.4331	196.078	-165.714	97.0502	201.237	-166.667
125	3.08523	0.173613	8.63637	16.0732	0.0406365	79.2982	165.273	-164.049	79.0159	165.364	-161.099
126	6.47154	1.2512	0.115404	-0.0070144	0.0152985	79.2982	165.273	-164.049	85.1515	164.503	-161.646
127	3.07708	0.746559	0.229871	0	0.0732886	89.8389	158.149	-179.98	91.5637	156.258	-181.272
128	2.95929	0.724288	0.20663	0	0.0499996	89.8389	158.149	-179.98	92.4853	159.033	-180.378
129	3.58297	0.0993629	9.78637	130.212	0.00231426	74.5278	166.197	-181.076	77.3325	168.403	-181.295
130	3.86856	0.71962	0.261734	0.335623	0.019476	74.5278	166.197	-181.076	75.5703	164.52	-184.316
131	9.97252	0.239725	0.330829	-0.399723	0.0162804	44.4484	134.242	-157.468	39.0005	129.035	-151.182
132	5.23631	0.307011	0.322498	-0.71058	0.0354024	44.4484	134.242	-157.468	41.1707	133.788	-161.292
133	6.66091	0.900367	0.155753	0.0573313	0.0286083	53.0596	119.885	-164.901	55.4483	113.922	-165.719
134	5.34541	0.28982	0.440954	3.51292	0.0531274	53.0596	119.885	-164.901	49.3635	116.428	-165.295
135	18.3625	0.997051	0.241915	0.434447	0.0370949	54.782	173.119	-140.272	57.2675	174.887	-122.831
136	13.7732	0.301461	2.14961	0.536477	0.0401127	54.782	173.119	-140.272	55.1674	183.181	-131.672
137	3.65532	1.38198	0.326717	0	0.239777	61.0139	152.847	-138.328	61.7493	152.409	-135.507
138	3.73509	1.29815	0.312867	0	0.20777	61.0139	152.847	-138.328	63.1332	150.673	-137.739
139	20.4475	0.333848	2.26684	-22.7548	0.0586917	47.4696	148.699	-130.731	42.2773	141.81	-113.451
140	16.5768	0.485059	0.432429	-2.05092	0.0502525	47.4696	148.699	-130.731	45.3744	135.555	-122.247
141	6.51941	1.52783	0.111082	0.205311	0.0272727	42.7652	140.028	-209.814	42.5918	134.611	-206.513
142	4.31588	1.21451	0.182609	-0.0991185	0.0374224	42.7652	140.028	-209.814	39.4171	142.262	-208.762
143	6.01786	0.537178	0.404568	0.126148	0.0921114	41.9819	136.935	-218.071	37.6295	136.606	-221.434
144	5.31711	0.622978	0.273539	-0.850882	0.0238644	62.1627	140.577	-213.088	64.389	137.332	-209.7
145	3.8169	0.657322	0.300006	2.1873	0.0538321	62.1627	140.577	-213.088	65.084	142.705	-213.32
146	8.63426	1.94035	0.0991666	0.0589775	0.0403748	57.7561	133.41	-216.868	58.7065	125.175	-217.265
147	6.82814	1.86358	0.127472	0.192637	0.024286	64.5318	155.014	-238.438	66.7548	159.198	-243.128
148	11.6325	1.85295	0.0890933	0.0654952	0.039954	64.5318	155.014	-238.438	74.7032	151.769	-241.774
