CellId	Radius	Length	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
123	5.07277	13.4561	0.0422974	0	0.91167	-25.9758	164.561	-204.271	-32.3743	163.019	-206.766
124	4.48606	45.8702	0.0251162	3033.6	0.0795756	-32.3743	163.019	-206.766	-63.8673	157.879	-234.822
125	4.17692	61.4541	0.00695718	1868.28	0.00801332	-1.66395	158.206	-155.638	-37.3156	158.196	-205.093
126	5.36281	24.8212	1.00439	0	4.09956	-17.5577	156.154	-196.495	-19.2418	159.965	-193.979
127	3.29751	58.0233	0.0429625	790.384	0.104712	-34.2417	160.181	-203.554	-68.0885	200.02	-198.46
128	1.45805	15.8565	0.166602	0.175733	0.0232656	-68.0885	200.02	-198.46	-74.0166	213.495	-193.62
129	5.28109	25.7058	0.0600888	-67945.2	0.32018	4.37504	160.588	-173.411	2.84734	160.018	-154.008
130	4.36731	18.9723	0.722235	0.070857	1.04441	2.84734	160.018	-154.008	4.25097	157.636	-162.867
131	3.50118	11.1562	0.328022	0	0.62007	4.25097	157.636	-162.867	-0.893621	157.701	-158.29
132	2.51003	28.5513	0.177767	-4448.63	1.23761	-0.893621	157.701	-158.29	8.20413	157.052	-167.213
133	1.81654	39.0933	0.127808	1658.33	0.205001	8.20413	157.052	-167.213	25.1022	157.494	-194.903
134	1.18815	93.0238	0.024899	-71.3074	0.00990373	25.1022	157.494	-194.903	-61.9578	128.199	-201.751
135	2.7431	66.4524	0.0344423	145.82	0.0621443	4.25097	157.636	-162.867	-43.5049	143.004	-200.544
136	2.3111	36.0124	0.0622295	-2023.31	0.467867	1.94952	158.928	-166.568	15.0418	157.375	-187.258
137	3.88073	56.9212	0.0378137	-11912.4	0.341568	15.0418	157.375	-187.258	7.21194	159.8	-145.629
138	7.9901	118.144	0.0292238	9369.96	0.336009	7.21194	159.8	-145.629	55.367	183.667	-215.853
139	2.88106	42.515	1.21567	-140.698	6.86696	2.84734	160.018	-154.008	7.31288	158.261	-156.494
140	1.7307	32.7905	0.286898	-5890.42	0.507009	7.31288	158.261	-156.494	13.962	157.569	-135.787
141	1.41646	38.0605	0.00724523	77.5269	0.00224585	13.962	157.569	-135.787	9.20153	155.877	-173.425
142	3.87558	79.2918	0.194497	4221.86	0.359315	9.20153	155.877	-173.425	11.7928	158.277	-115.2
143	7.96624	47.9649	0.0115073	0.126275	0.00906337	11.7928	158.277	-115.2	11.5804	154.924	-162.615
144	2.30851	11.0806	0.135417	0.614344	0.0236721	55.367	183.667	-215.853	60.5436	192.786	-218.541
145	5.62731	60.3506	0.0124875	890.347	0.0182977	7.21194	159.8	-145.629	-23.9584	160.831	-196.026
146	5.06709	5.27894	0.0372973	0	0.00557706	-23.9584	160.831	-196.026	-28.9433	162.196	-196.945
147	2.73906	37.7687	1.61977	-643.253	1.53807	4.58282	159.45	-180.427	7.39816	159.958	-165.823
148	2.16855	66.8794	0.154924	-267.646	3.5456	7.39816	159.958	-165.823	10.2635	158.667	-151.45
149	4.35953	136.333	0.0536302	-1480.09	2.75737	10.2635	158.667	-151.45	11.7928	158.277	-115.2
150	7.9671	46.6733	0.0115717	0.127278	0.00922416	11.7928	158.277	-115.2	11.554	154.868	-161.32
151	1.53453	56.3486	0.0254789	478.107	0.187311	4.25097	157.636	-162.867	14.7922	159.593	-116.634
152	7.14276	37.943	0.0107544	69.4795	0.0134038	14.7922	159.593	-116.634	15.6917	155.873	-153.879
153	7.44312	35.9427	0.0194796	-0.101315	0.012577	15.6917	155.873	-153.879	15.4117	156.963	-189.358
154	5.89788	25.9844	0.0443986	-12564.1	0.07576	15.4117	156.963	-189.358	-8.69243	157.684	-187.977
155	6.47917	40.4823	8.06033	436.273	2.69007	3.97935	158.155	-170.934	8.06957	157.854	-160.758
156	6.58809	16.2309	0.0265153	0	0.0108068	8.06957	157.854	-160.758	7.00268	159.182	-176.725
157	5.64831	14.2224	0.085523	0	0.669211	7.00268	159.182	-176.725	1.74505	159.895	-183.392
